Temperature,YRS (130 mT) - Fig-2i
278.22,0.0836
259.23,0.116
238.78,0.0795
220.61,0.275
201.43,0.613
190.52,0.934
181.63,1.24
162.42,1.53
143.09,1.8
125.37,2.06
122.89,2.3
122.35,2.53
101.73,2.74
91.62,2.94
91.57,3.12
82.11,3.45
81.57,3.59
71.23,3.72
71.15,3.84
60.98,3.95
50.78,4.03
45.34,3.97
40.4,3.86
40.39,3.82
35.42,3.79
35.4,3.78
30.47,3.77
30.46,3.77
26.61,3.77
26.59,3.78
26.57,3.78
23.78,3.77
23.75,3.76
23.74,3.75
21.06,3.73
21.05,3.71
19.27,3.69
19.26,3.67
17.49,3.65
17.48,3.63
15.71,3.61
15.71,3.59
13.9,3.58
13.89,3.57
12.12,3.56
12.11,3.55
11.33,3.54
11.32,3.53
10.49,3.52
10.48,3.51
9.62,3.5
9.6,3.49
9.19,3.48
9.18,3.46
8.42,3.45
8.41,3.44
8.16,3.43
8.1,3.42
8.08,3.41
7.4,3.41
7.37,3.41
6.83,3.41
6.8,3.42
6.43,3.43
6.4,3.43
5.79,3.44
5.77,3.44
5.49,3.45
5.47,3.46
5.45,3.47
5.38,3.48
5.02,3.48
4.83,3.49
4.63,3.5
4.6,3.51
4.26,3.52
4.25,3.53
4.02,3.53
3.34,3.54
2.98,3.55
2.64,3.56
2.46,3.56
2.22,3.57
2,3.58
